Participant	QN	Neologism	Condition	Figure	Regularity	Pattern	Score	Unknown	Age
Suj08	41Q01	ablation	4	Metonymy	High	P41	5	NA	20
Suj08	41Q02	reparation	4	Metonymy	High	P41	7	NA	20
Suj08	41Q03	glanage	4	Metonymy	High	P41	7	NA	20
Suj08	41Q04	racket	4	Metonymy	High	P41	7	NA	20
Suj08	41Q05	bouclage	4	Metonymy	High	P41	4	NA	20
Suj08	41Q06	perquisition	4	Metonymy	High	P41	NA	NA	20
Suj08	41Q07	liquidation	4	Metonymy	High	P41	NA	NA	20
Suj08	41Q08	broyage	4	Metonymy	High	P41	NA	NA	20
Suj08	41Q09	largage	4	Metonymy	High	P41	NA	NA	20
Suj08	41Q10	verification	4	Metonymy	High	P41	NA	NA	20
Suj08	42Q01	paternalisme	4	Metonymy	High	P42	7	NA	20
Suj08	42Q02	serviabilite	4	Metonymy	High	P42	3	NA	20
Suj08	42Q03	sincerite	4	Metonymy	High	P42	7	NA	20
Suj08	42Q04	clemence	4	Metonymy	High	P42	7	NA	20
Suj08	42Q05	bienveillance	4	Metonymy	High	P42	7	NA	20
Suj08	42Q06	neutralite	4	Metonymy	High	P42	NA	NA	20
Suj08	42Q07	sexisme	4	Metonymy	High	P42	NA	NA	20
Suj08	42Q08	arrogance	4	Metonymy	High	P42	NA	NA	20
Suj08	42Q09	docilite	4	Metonymy	High	P42	NA	NA	20
Suj08	42Q10	immaturite	4	Metonymy	High	P42	NA	NA	20
Suj08	43Q01	safran	4	Metonymy	High	P43	1	NA	20
Suj08	43Q02	vinaigre	4	Metonymy	High	P43	1	NA	20
Suj08	43Q03	levure	4	Metonymy	High	P43	7	NA	20
Suj08	43Q04	moutarde	4	Metonymy	High	P43	1	NA	20
Suj08	43Q05	vanille	4	Metonymy	High	P43	7	NA	20
Suj08	43Q06	lait	4	Metonymy	High	P43	NA	NA	20
Suj08	43Q07	ketchup	4	Metonymy	High	P43	NA	NA	20
Suj08	43Q08	sel	4	Metonymy	High	P43	NA	NA	20
Suj08	43Q09	beurre	4	Metonymy	High	P43	NA	NA	20
Suj08	43Q10	huile	4	Metonymy	High	P43	NA	NA	20
Suj09	11Q01	mentor	1	Metaphor	Low	P11	6	NA	21
Suj09	11Q02	croupier	1	Metaphor	Low	P11	3	NA	21
Suj09	11Q03	vigile	1	Metaphor	Low	P11	4	NA	21
Suj09	11Q04	barman	1	Metaphor	Low	P11	3	NA	21
Suj09	11Q05	pompier	1	Metaphor	Low	P11	4	NA	21
Suj09	11Q06	majordome	1	Metaphor	Low	P11	NA	NA	21
Suj09	11Q07	acrobate	1	Metaphor	Low	P11	NA	NA	21
Suj09	11Q08	arbitre	1	Metaphor	Low	P11	NA	NA	21
Suj09	11Q09	infirmier	1	Metaphor	Low	P11	NA	NA	21
Suj09	11Q10	troubadour	1	Metaphor	Low	P11	NA	NA	21
Suj09	12Q01	pistache	1	Metaphor	Low	P12	3	NA	21
Suj09	12Q02	orange	1	Metaphor	Low	P12	3	NA	21
Suj09	12Q03	cacahuete	1	Metaphor	Low	P12	4	NA	21
Suj09	12Q04	abricot	1	Metaphor	Low	P12	2	NA	21
Suj09	12Q05	olive	1	Metaphor	Low	P12	7	NA	21
Suj09	12Q06	cerise	1	Metaphor	Low	P12	NA	NA	21
Suj09	12Q07	haricot	1	Metaphor	Low	P12	NA	NA	21
Suj09	12Q08	datte	1	Metaphor	Low	P12	NA	NA	21
Suj09	12Q09	pasteque	1	Metaphor	Low	P12	NA	NA	21
Suj09	12Q10	escalope	1	Metaphor	Low	P12	NA	NA	21
Suj09	13Q01	chrysalide	1	Metaphor	Low	P13	6	NA	21
Suj09	13Q02	sapin	1	Metaphor	Low	P13	4	NA	21
Suj09	13Q03	colline	1	Metaphor	Low	P13	6	NA	21
Suj09	13Q04	grotte	1	Metaphor	Low	P13	5	NA	21
Suj09	13Q05	cratere	1	Metaphor	Low	P13	2	NA	21
Suj09	13Q06	dune	1	Metaphor	Low	P13	NA	NA	21
Suj09	13Q07	falaise	1	Metaphor	Low	P13	NA	NA	21
Suj09	13Q08	eboulis	1	Metaphor	Low	P13	NA	NA	21
Suj09	13Q09	banquise	1	Metaphor	Low	P13	NA	NA	21
Suj09	13Q10	fougere	1	Metaphor	Low	P13	NA	NA	21
Suj09	21Q01	brise	2	Metaphor	High	P21	6	NA	21
Suj09	21Q02	bruine	2	Metaphor	High	P21	6	NA	21
Suj09	21Q03	typhon	2	Metaphor	High	P21	6	NA	21
Suj09	21Q04	bourrasque	2	Metaphor	High	P21	6	NA	21
Suj09	21Q05	cyclone	2	Metaphor	High	P21	7	NA	21
Suj09	21Q06	seisme	2	Metaphor	High	P21	NA	NA	21
Suj09	21Q07	orage	2	Metaphor	High	P21	NA	NA	21
Suj09	21Q08	crachin	2	Metaphor	High	P21	NA	NA	21
Suj09	21Q09	mistral	2	Metaphor	High	P21	NA	NA	21
Suj09	21Q10	blizzard	2	Metaphor	High	P21	NA	NA	21
Suj09	22Q01	estomac	2	Metaphor	High	P22	4	NA	21
Suj09	22Q02	moustache	2	Metaphor	High	P22	5	NA	21
Suj09	22Q03	trachee	2	Metaphor	High	P22	6	NA	21
Suj09	22Q04	tempe	2	Metaphor	High	P22	5	NA	21
Suj09	22Q05	genou	2	Metaphor	High	P22	6	NA	21
Suj09	22Q06	thorax	2	Metaphor	High	P22	NA	NA	21
Suj09	22Q07	orteil	2	Metaphor	High	P22	NA	NA	21
Suj09	22Q08	cheveu	2	Metaphor	High	P22	NA	NA	21
Suj09	22Q09	epaule	2	Metaphor	High	P22	NA	NA	21
Suj09	22Q10	paupiere	2	Metaphor	High	P22	NA	NA	21
Suj09	23Q01	insalubrite	2	Metaphor	High	P23	5	NA	21
Suj09	23Q02	obesite	2	Metaphor	High	P23	5	NA	21
Suj09	23Q03	etancheite	2	Metaphor	High	P23	7	NA	21
Suj09	23Q04	compressibilite	2	Metaphor	High	P23	3	NA	21
Suj09	23Q05	absorptivite	2	Metaphor	High	P23	5	NA	21
Suj09	23Q06	fluorescence	2	Metaphor	High	P23	NA	NA	21
Suj09	23Q07	corpulence	2	Metaphor	High	P23	NA	NA	21
Suj09	23Q08	sveltesse	2	Metaphor	High	P23	NA	NA	21
Suj09	23Q09	humidite	2	Metaphor	High	P23	NA	NA	21
Suj09	23Q10	adherence	2	Metaphor	High	P23	NA	NA	21
Suj09	31Q01	chevalet	3	Metonymy	Low	P31	2	NA	21
Suj09	31Q02	babyfoot	3	Metonymy	Low	P31	5	NA	21
Suj09	31Q03	chaudiere	3	Metonymy	Low	P31	3	NA	21
Suj09	31Q04	parcmetre	3	Metonymy	Low	P31	2	NA	21
Suj09	31Q05	piano	3	Metonymy	Low	P31	1	NA	21
Suj09	31Q06	microondes	3	Metonymy	Low	P31	NA	NA	21
Suj09	31Q07	enclume	3	Metonymy	Low	P31	NA	NA	21
Suj09	31Q08	photocopieuse	3	Metonymy	Low	P31	NA	NA	21
Suj09	31Q09	alambic	3	Metonymy	Low	P31	NA	NA	21
Suj09	31Q10	congelateur	3	Metonymy	Low	P31	NA	NA	21
Suj09	32Q01	jambe	3	Metonymy	Low	P32	6	NA	21
Suj09	32Q02	dos	3	Metonymy	Low	P32	5	NA	21
Suj09	32Q03	doigt	3	Metonymy	Low	P32	7	NA	21
Suj09	32Q04	cuisse	3	Metonymy	Low	P32	5	NA	21
Suj09	32Q05	poignet	3	Metonymy	Low	P32	6	NA	21
Suj09	32Q06	poing	3	Metonymy	Low	P32	NA	NA	21
Suj09	32Q07	abdos	3	Metonymy	Low	P32	NA	NA	21
Suj09	32Q08	uterus	3	Metonymy	Low	P32	NA	NA	21
Suj09	32Q09	gorge	3	Metonymy	Low	P32	NA	NA	21
Suj09	32Q10	sourcil	3	Metonymy	Low	P32	NA	NA	21
Suj09	33Q01	savoir	3	Metonymy	Low	P33	4	NA	21
Suj09	33Q02	laicite	3	Metonymy	Low	P33	6	NA	21
Suj09	33Q03	elegance	3	Metonymy	Low	P33	7	NA	21
Suj09	33Q04	generosite	3	Metonymy	Low	P33	6	NA	21
Suj09	33Q05	spiritualite	3	Metonymy	Low	P33	5	NA	21
Suj09	33Q06	pauvrete	3	Metonymy	Low	P33	NA	NA	21
Suj09	33Q07	ivresse	3	Metonymy	Low	P33	NA	NA	21
Suj09	33Q08	humour	3	Metonymy	Low	P33	NA	NA	21
Suj09	33Q09	paranoia	3	Metonymy	Low	P33	NA	NA	21
Suj09	33Q10	fougue	3	Metonymy	Low	P33	NA	NA	21
Suj09	41Q01	ablation	4	Metonymy	High	P41	4	NA	21
Suj09	41Q02	reparation	4	Metonymy	High	P41	4	NA	21
Suj09	41Q03	glanage	4	Metonymy	High	P41	5	NA	21
Suj09	41Q04	racket	4	Metonymy	High	P41	5	NA	21
Suj09	41Q05	bouclage	4	Metonymy	High	P41	3	NA	21
Suj09	41Q06	perquisition	4	Metonymy	High	P41	NA	NA	21
Suj09	41Q07	liquidation	4	Metonymy	High	P41	NA	NA	21
Suj09	41Q08	broyage	4	Metonymy	High	P41	NA	NA	21
Suj09	41Q09	largage	4	Metonymy	High	P41	NA	NA	21
Suj09	41Q10	verification	4	Metonymy	High	P41	NA	NA	21
Suj09	42Q01	paternalisme	4	Metonymy	High	P42	5	NA	21
Suj09	42Q02	serviabilite	4	Metonymy	High	P42	5	NA	21
Suj09	42Q03	sincerite	4	Metonymy	High	P42	7	NA	21
Suj09	42Q04	clemence	4	Metonymy	High	P42	7	NA	21
Suj09	42Q05	bienveillance	4	Metonymy	High	P42	6	NA	21
Suj09	42Q06	neutralite	4	Metonymy	High	P42	NA	NA	21
Suj09	42Q07	sexisme	4	Metonymy	High	P42	NA	NA	21
Suj09	42Q08	arrogance	4	Metonymy	High	P42	NA	NA	21
Suj09	42Q09	docilite	4	Metonymy	High	P42	NA	NA	21
Suj09	42Q10	immaturite	4	Metonymy	High	P42	NA	NA	21
Suj09	43Q01	safran	4	Metonymy	High	P43	2	NA	21
Suj09	43Q02	vinaigre	4	Metonymy	High	P43	3	NA	21
Suj09	43Q03	levure	4	Metonymy	High	P43	5	NA	21
Suj09	43Q04	moutarde	4	Metonymy	High	P43	1	NA	21
Suj09	43Q05	vanille	4	Metonymy	High	P43	7	NA	21
Suj09	43Q06	lait	4	Metonymy	High	P43	NA	NA	21
Suj09	43Q07	ketchup	4	Metonymy	High	P43	NA	NA	21
Suj09	43Q08	sel	4	Metonymy	High	P43	NA	NA	21
Suj09	43Q09	beurre	4	Metonymy	High	P43	NA	NA	21
Suj09	43Q10	huile	4	Metonymy	High	P43	NA	NA	21
Suj10	11Q01	mentor	1	Metaphor	Low	P11	1	NA	19
Suj10	11Q02	croupier	1	Metaphor	Low	P11	2	NA	19
Suj10	11Q03	vigile	1	Metaphor	Low	P11	1	NA	19
Suj10	11Q04	barman	1	Metaphor	Low	P11	1	NA	19
Suj10	11Q05	pompier	1	Metaphor	Low	P11	1	NA	19
Suj10	11Q06	majordome	1	Metaphor	Low	P11	NA	NA	19
Suj10	11Q07	acrobate	1	Metaphor	Low	P11	NA	NA	19
Suj10	11Q08	arbitre	1	Metaphor	Low	P11	NA	NA	19
Suj10	11Q09	infirmier	1	Metaphor	Low	P11	NA	NA	19
Suj10	11Q10	troubadour	1	Metaphor	Low	P11	NA	NA	19
Suj10	12Q01	pistache	1	Metaphor	Low	P12	1	NA	19
Suj10	12Q02	orange	1	Metaphor	Low	P12	2	NA	19
Suj10	12Q03	cacahuete	1	Metaphor	Low	P12	1	NA	19
Suj10	12Q04	abricot	1	Metaphor	Low	P12	1	NA	19
Suj10	12Q05	olive	1	Metaphor	Low	P12	1	NA	19
Suj10	12Q06	cerise	1	Metaphor	Low	P12	NA	NA	19
Suj10	12Q07	haricot	1	Metaphor	Low	P12	NA	NA	19
Suj10	12Q08	datte	1	Metaphor	Low	P12	NA	NA	19
Suj10	12Q09	pasteque	1	Metaphor	Low	P12	NA	NA	19
Suj10	12Q10	escalope	1	Metaphor	Low	P12	NA	NA	19
Suj10	13Q01	chrysalide	1	Metaphor	Low	P13	6	NA	19
Suj10	13Q02	sapin	1	Metaphor	Low	P13	6	NA	19
Suj10	13Q03	colline	1	Metaphor	Low	P13	2	NA	19
Suj10	13Q04	grotte	1	Metaphor	Low	P13	1	NA	19
Suj10	13Q05	cratere	1	Metaphor	Low	P13	2	NA	19
Suj10	13Q06	dune	1	Metaphor	Low	P13	NA	NA	19
Suj10	13Q07	falaise	1	Metaphor	Low	P13	NA	NA	19
Suj10	13Q08	eboulis	1	Metaphor	Low	P13	NA	NA	19
Suj10	13Q09	banquise	1	Metaphor	Low	P13	NA	NA	19
Suj10	13Q10	fougere	1	Metaphor	Low	P13	NA	NA	19
Suj10	21Q01	brise	2	Metaphor	High	P21	1	NA	19
Suj10	21Q02	bruine	2	Metaphor	High	P21	2	NA	19
Suj10	21Q03	typhon	2	Metaphor	High	P21	2	NA	19
Suj10	21Q04	bourrasque	2	Metaphor	High	P21	3	NA	19
Suj10	21Q05	cyclone	2	Metaphor	High	P21	2	NA	19
Suj10	21Q06	seisme	2	Metaphor	High	P21	NA	NA	19
Suj10	21Q07	orage	2	Metaphor	High	P21	NA	NA	19
Suj10	21Q08	crachin	2	Metaphor	High	P21	NA	NA	19
Suj10	21Q09	mistral	2	Metaphor	High	P21	NA	NA	19
Suj10	21Q10	blizzard	2	Metaphor	High	P21	NA	NA	19
Suj10	22Q01	estomac	2	Metaphor	High	P22	1	NA	19
Suj10	22Q02	moustache	2	Metaphor	High	P22	1	NA	19
Suj10	22Q03	trachee	2	Metaphor	High	P22	2	NA	19
Suj10	22Q04	tempe	2	Metaphor	High	P22	2	NA	19
Suj10	22Q05	genou	2	Metaphor	High	P22	2	NA	19
Suj10	22Q06	thorax	2	Metaphor	High	P22	NA	NA	19
Suj10	22Q07	orteil	2	Metaphor	High	P22	NA	NA	19
Suj10	22Q08	cheveu	2	Metaphor	High	P22	NA	NA	19
Suj10	22Q09	epaule	2	Metaphor	High	P22	NA	NA	19
Suj10	22Q10	paupiere	2	Metaphor	High	P22	NA	NA	19
Suj10	23Q01	insalubrite	2	Metaphor	High	P23	2	NA	19
Suj10	23Q02	obesite	2	Metaphor	High	P23	1	NA	19
Suj10	23Q03	etancheite	2	Metaphor	High	P23	1	NA	19
Suj10	23Q04	compressibilite	2	Metaphor	High	P23	1	NA	19
Suj10	23Q05	absorptivite	2	Metaphor	High	P23	1	NA	19
Suj10	23Q06	fluorescence	2	Metaphor	High	P23	NA	NA	19
Suj10	23Q07	corpulence	2	Metaphor	High	P23	NA	NA	19
Suj10	23Q08	sveltesse	2	Metaphor	High	P23	NA	NA	19
Suj10	23Q09	humidite	2	Metaphor	High	P23	NA	NA	19
Suj10	23Q10	adherence	2	Metaphor	High	P23	NA	NA	19
Suj10	31Q01	chevalet	3	Metonymy	Low	P31	1	NA	19
Suj10	31Q02	babyfoot	3	Metonymy	Low	P31	3	NA	19
Suj10	31Q03	chaudiere	3	Metonymy	Low	P31	2	NA	19
Suj10	31Q04	parcmetre	3	Metonymy	Low	P31	4	NA	19
Suj10	31Q05	piano	3	Metonymy	Low	P31	1	NA	19
Suj10	31Q06	microondes	3	Metonymy	Low	P31	NA	NA	19
Suj10	31Q07	enclume	3	Metonymy	Low	P31	NA	NA	19
Suj10	31Q08	photocopieuse	3	Metonymy	Low	P31	NA	NA	19
Suj10	31Q09	alambic	3	Metonymy	Low	P31	NA	NA	19
Suj10	31Q10	congelateur	3	Metonymy	Low	P31	NA	NA	19
Suj10	32Q01	jambe	3	Metonymy	Low	P32	3	NA	19
Suj10	32Q02	dos	3	Metonymy	Low	P32	1	NA	19
Suj10	32Q03	doigt	3	Metonymy	Low	P32	2	NA	19
Suj10	32Q04	cuisse	3	Metonymy	Low	P32	1	NA	19
Suj10	32Q05	poignet	3	Metonymy	Low	P32	1	NA	19
Suj10	32Q06	poing	3	Metonymy	Low	P32	NA	NA	19
Suj10	32Q07	abdos	3	Metonymy	Low	P32	NA	NA	19
Suj10	32Q08	uterus	3	Metonymy	Low	P32	NA	NA	19
Suj10	32Q09	gorge	3	Metonymy	Low	P32	NA	NA	19
Suj10	32Q10	sourcil	3	Metonymy	Low	P32	NA	NA	19
Suj10	33Q01	savoir	3	Metonymy	Low	P33	5	NA	19
Suj10	33Q02	laicite	3	Metonymy	Low	P33	4	NA	19
Suj10	33Q03	elegance	3	Metonymy	Low	P33	6	NA	19
Suj10	33Q04	generosite	3	Metonymy	Low	P33	2	NA	19
Suj10	33Q05	spiritualite	3	Metonymy	Low	P33	4	NA	19
Suj10	33Q06	pauvrete	3	Metonymy	Low	P33	NA	NA	19
Suj10	33Q07	ivresse	3	Metonymy	Low	P33	NA	NA	19
Suj10	33Q08	humour	3	Metonymy	Low	P33	NA	NA	19
Suj10	33Q09	paranoia	3	Metonymy	Low	P33	NA	NA	19
Suj10	33Q10	fougue	3	Metonymy	Low	P33	NA	NA	19
Suj10	41Q01	ablation	4	Metonymy	High	P41	3	NA	19
Suj10	41Q02	reparation	4	Metonymy	High	P41	3	NA	19
Suj10	41Q03	glanage	4	Metonymy	High	P41	1	NA	19
Suj10	41Q04	racket	4	Metonymy	High	P41	6	NA	19
Suj10	41Q05	bouclage	4	Metonymy	High	P41	1	NA	19
Suj10	41Q06	perquisition	4	Metonymy	High	P41	NA	NA	19
Suj10	41Q07	liquidation	4	Metonymy	High	P41	NA	NA	19
Suj10	41Q08	broyage	4	Metonymy	High	P41	NA	NA	19
Suj10	41Q09	largage	4	Metonymy	High	P41	NA	NA	19
Suj10	41Q10	verification	4	Metonymy	High	P41	NA	NA	19
Suj10	42Q01	paternalisme	4	Metonymy	High	P42	7	NA	19
Suj10	42Q02	serviabilite	4	Metonymy	High	P42	4	NA	19
Suj10	42Q03	sincerite	4	Metonymy	High	P42	5	NA	19
Suj10	42Q04	clemence	4	Metonymy	High	P42	7	NA	19
Suj10	42Q05	bienveillance	4	Metonymy	High	P42	7	NA	19
Suj10	42Q06	neutralite	4	Metonymy	High	P42	NA	NA	19
Suj10	42Q07	sexisme	4	Metonymy	High	P42	NA	NA	19
Suj10	42Q08	arrogance	4	Metonymy	High	P42	NA	NA	19
Suj10	42Q09	docilite	4	Metonymy	High	P42	NA	NA	19
Suj10	42Q10	immaturite	4	Metonymy	High	P42	NA	NA	19
Suj10	43Q01	safran	4	Metonymy	High	P43	2	NA	19
Suj10	43Q02	vinaigre	4	Metonymy	High	P43	7	NA	19
Suj10	43Q03	levure	4	Metonymy	High	P43	6	NA	19
Suj10	43Q04	moutarde	4	Metonymy	High	P43	1	NA	19
Suj10	43Q05	vanille	4	Metonymy	High	P43	4	NA	19
Suj10	43Q06	lait	4	Metonymy	High	P43	NA	NA	19
Suj10	43Q07	ketchup	4	Metonymy	High	P43	NA	NA	19
Suj10	43Q08	sel	4	Metonymy	High	P43	NA	NA	19
Suj10	43Q09	beurre	4	Metonymy	High	P43	NA	NA	19
Suj10	43Q10	huile	4	Metonymy	High	P43	NA	NA	19
Suj11	11Q01	mentor	1	Metaphor	Low	P11	7	NA	20
Suj11	11Q02	croupier	1	Metaphor	Low	P11	2	NA	20
Suj11	11Q03	vigile	1	Metaphor	Low	P11	7	NA	20
Suj11	11Q04	barman	1	Metaphor	Low	P11	4	NA	20
Suj11	11Q05	pompier	1	Metaphor	Low	P11	7	NA	20
Suj11	11Q06	majordome	1	Metaphor	Low	P11	NA	NA	20
Suj11	11Q07	acrobate	1	Metaphor	Low	P11	NA	NA	20
Suj11	11Q08	arbitre	1	Metaphor	Low	P11	NA	NA	20
Suj11	11Q09	infirmier	1	Metaphor	Low	P11	NA	NA	20
Suj11	11Q10	troubadour	1	Metaphor	Low	P11	NA	NA	20
Suj11	12Q01	pistache	1	Metaphor	Low	P12	2	NA	20
Suj11	12Q02	orange	1	Metaphor	Low	P12	3	NA	20
Suj11	12Q03	cacahuete	1	Metaphor	Low	P12	2	NA	20
Suj11	12Q04	abricot	1	Metaphor	Low	P12	1	NA	20
Suj11	12Q05	olive	1	Metaphor	Low	P12	7	NA	20
Suj11	12Q06	cerise	1	Metaphor	Low	P12	NA	NA	20
Suj11	12Q07	haricot	1	Metaphor	Low	P12	NA	NA	20
Suj11	12Q08	datte	1	Metaphor	Low	P12	NA	NA	20
Suj11	12Q09	pasteque	1	Metaphor	Low	P12	NA	NA	20
Suj11	12Q10	escalope	1	Metaphor	Low	P12	NA	NA	20
Suj11	13Q01	chrysalide	1	Metaphor	Low	P13	7	NA	20
Suj11	13Q02	sapin	1	Metaphor	Low	P13	3	NA	20
Suj11	13Q03	colline	1	Metaphor	Low	P13	7	NA	20
Suj11	13Q04	grotte	1	Metaphor	Low	P13	7	NA	20
Suj11	13Q05	cratere	1	Metaphor	Low	P13	1	NA	20
Suj11	13Q06	dune	1	Metaphor	Low	P13	NA	NA	20
Suj11	13Q07	falaise	1	Metaphor	Low	P13	NA	NA	20
Suj11	13Q08	eboulis	1	Metaphor	Low	P13	NA	NA	20
Suj11	13Q09	banquise	1	Metaphor	Low	P13	NA	NA	20
Suj11	13Q10	fougere	1	Metaphor	Low	P13	NA	NA	20
Suj11	21Q01	brise	2	Metaphor	High	P21	4	NA	20
Suj11	21Q02	bruine	2	Metaphor	High	P21	7	NA	20
Suj11	21Q03	typhon	2	Metaphor	High	P21	5	NA	20
Suj11	21Q04	bourrasque	2	Metaphor	High	P21	2	NA	20
Suj11	21Q05	cyclone	2	Metaphor	High	P21	6	NA	20
Suj11	21Q06	seisme	2	Metaphor	High	P21	NA	NA	20
Suj11	21Q07	orage	2	Metaphor	High	P21	NA	NA	20
Suj11	21Q08	crachin	2	Metaphor	High	P21	NA	NA	20
Suj11	21Q09	mistral	2	Metaphor	High	P21	NA	NA	20
Suj11	21Q10	blizzard	2	Metaphor	High	P21	NA	NA	20
Suj11	22Q01	estomac	2	Metaphor	High	P22	7	NA	20
Suj11	22Q02	moustache	2	Metaphor	High	P22	7	NA	20
Suj11	22Q03	trachee	2	Metaphor	High	P22	7	NA	20
Suj11	22Q04	tempe	2	Metaphor	High	P22	5	NA	20
Suj11	22Q05	genou	2	Metaphor	High	P22	5	NA	20
Suj11	22Q06	thorax	2	Metaphor	High	P22	NA	NA	20
Suj11	22Q07	orteil	2	Metaphor	High	P22	NA	NA	20
Suj11	22Q08	cheveu	2	Metaphor	High	P22	NA	NA	20
Suj11	22Q09	epaule	2	Metaphor	High	P22	NA	NA	20
Suj11	22Q10	paupiere	2	Metaphor	High	P22	NA	NA	20
Suj11	23Q01	insalubrite	2	Metaphor	High	P23	6	NA	20
Suj11	23Q02	obesite	2	Metaphor	High	P23	7	NA	20
Suj11	23Q03	etancheite	2	Metaphor	High	P23	6	NA	20
Suj11	23Q04	compressibilite	2	Metaphor	High	P23	4	NA	20
Suj11	23Q05	absorptivite	2	Metaphor	High	P23	6	NA	20
Suj11	23Q06	fluorescence	2	Metaphor	High	P23	NA	NA	20
Suj11	23Q07	corpulence	2	Metaphor	High	P23	NA	NA	20
Suj11	23Q08	sveltesse	2	Metaphor	High	P23	NA	NA	20
Suj11	23Q09	humidite	2	Metaphor	High	P23	NA	NA	20
Suj11	23Q10	adherence	2	Metaphor	High	P23	NA	NA	20
Suj11	31Q01	chevalet	3	Metonymy	Low	P31	7	NA	20
Suj11	31Q02	babyfoot	3	Metonymy	Low	P31	1	NA	20
Suj11	31Q03	chaudiere	3	Metonymy	Low	P31	7	NA	20
Suj11	31Q04	parcmetre	3	Metonymy	Low	P31	6	NA	20
Suj11	31Q05	piano	3	Metonymy	Low	P31	1	NA	20
Suj11	31Q06	microondes	3	Metonymy	Low	P31	NA	NA	20
Suj11	31Q07	enclume	3	Metonymy	Low	P31	NA	NA	20
Suj11	31Q08	photocopieuse	3	Metonymy	Low	P31	NA	NA	20
Suj11	31Q09	alambic	3	Metonymy	Low	P31	NA	NA	20
Suj11	31Q10	congelateur	3	Metonymy	Low	P31	NA	NA	20
Suj11	32Q01	jambe	3	Metonymy	Low	P32	7	NA	20
Suj11	32Q02	dos	3	Metonymy	Low	P32	6	NA	20
Suj11	32Q03	doigt	3	Metonymy	Low	P32	6	NA	20
Suj11	32Q04	cuisse	3	Metonymy	Low	P32	5	NA	20
Suj11	32Q05	poignet	3	Metonymy	Low	P32	5	NA	20
Suj11	32Q06	poing	3	Metonymy	Low	P32	NA	NA	20
Suj11	32Q07	abdos	3	Metonymy	Low	P32	NA	NA	20
Suj11	32Q08	uterus	3	Metonymy	Low	P32	NA	NA	20
Suj11	32Q09	gorge	3	Metonymy	Low	P32	NA	NA	20
Suj11	32Q10	sourcil	3	Metonymy	Low	P32	NA	NA	20
Suj11	33Q01	savoir	3	Metonymy	Low	P33	6	NA	20
Suj11	33Q02	laicite	3	Metonymy	Low	P33	5	NA	20
Suj11	33Q03	elegance	3	Metonymy	Low	P33	7	NA	20
Suj11	33Q04	generosite	3	Metonymy	Low	P33	2	NA	20
Suj11	33Q05	spiritualite	3	Metonymy	Low	P33	6	NA	20
Suj11	33Q06	pauvrete	3	Metonymy	Low	P33	NA	NA	20
Suj11	33Q07	ivresse	3	Metonymy	Low	P33	NA	NA	20
Suj11	33Q08	humour	3	Metonymy	Low	P33	NA	NA	20
Suj11	33Q09	paranoia	3	Metonymy	Low	P33	NA	NA	20
Suj11	33Q10	fougue	3	Metonymy	Low	P33	NA	NA	20
Suj11	41Q01	ablation	4	Metonymy	High	P41	7	NA	20
Suj11	41Q02	reparation	4	Metonymy	High	P41	5	NA	20
Suj11	41Q03	glanage	4	Metonymy	High	P41	1	NA	20
Suj11	41Q04	racket	4	Metonymy	High	P41	7	NA	20
Suj11	41Q05	bouclage	4	Metonymy	High	P41	6	NA	20
Suj11	41Q06	perquisition	4	Metonymy	High	P41	NA	NA	20
Suj11	41Q07	liquidation	4	Metonymy	High	P41	NA	NA	20
Suj11	41Q08	broyage	4	Metonymy	High	P41	NA	NA	20
Suj11	41Q09	largage	4	Metonymy	High	P41	NA	NA	20
Suj11	41Q10	verification	4	Metonymy	High	P41	NA	NA	20
Suj11	42Q01	paternalisme	4	Metonymy	High	P42	7	NA	20
Suj11	42Q02	serviabilite	4	Metonymy	High	P42	5	NA	20
Suj11	42Q03	sincerite	4	Metonymy	High	P42	6	NA	20
Suj11	42Q04	clemence	4	Metonymy	High	P42	3	NA	20
Suj11	42Q05	bienveillance	4	Metonymy	High	P42	7	NA	20
Suj11	42Q06	neutralite	4	Metonymy	High	P42	NA	NA	20
Suj11	42Q07	sexisme	4	Metonymy	High	P42	NA	NA	20
Suj11	42Q08	arrogance	4	Metonymy	High	P42	NA	NA	20
Suj11	42Q09	docilite	4	Metonymy	High	P42	NA	NA	20
Suj11	42Q10	immaturite	4	Metonymy	High	P42	NA	NA	20
Suj11	43Q01	safran	4	Metonymy	High	P43	1	NA	20
Suj11	43Q02	vinaigre	4	Metonymy	High	P43	2	NA	20
Suj11	43Q03	levure	4	Metonymy	High	P43	1	NA	20
Suj11	43Q04	moutarde	4	Metonymy	High	P43	1	NA	20
Suj11	43Q05	vanille	4	Metonymy	High	P43	6	NA	20
Suj11	43Q06	lait	4	Metonymy	High	P43	NA	NA	20
Suj11	43Q07	ketchup	4	Metonymy	High	P43	NA	NA	20
Suj11	43Q08	sel	4	Metonymy	High	P43	NA	NA	20
Suj11	43Q09	beurre	4	Metonymy	High	P43	NA	NA	20
Suj11	43Q10	huile	4	Metonymy	High	P43	NA	NA	20
Suj12	11Q01	mentor	1	Metaphor	Low	P11	1	NA	20
Suj12	11Q02	croupier	1	Metaphor	Low	P11	7	NA	20
Suj12	11Q03	vigile	1	Metaphor	Low	P11	7	NA	20
Suj12	11Q04	barman	1	Metaphor	Low	P11	1	NA	20
Suj12	11Q05	pompier	1	Metaphor	Low	P11	1	NA	20
